#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D55
#Date Time: 2021-04-08 16:05:42.835
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 828.76 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 4 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: -4 V Attenuation: 1 X
#Math 1: Function: C1/100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 4 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.00102375,0.3451476338660022,0.6477945854294167,0.003451476338660022
-0.0010235,0.3488301124162561,0.6440408225396541,0.003488301124162561
-0.00102325,0.3561950695167495,0.6440408225396541,0.003561950695167495
-0.001023,0.3598775480670017,0.647794585429415,0.003598775480670017
-0.00102275,0.3598775480670033,0.6440408225396541,0.003598775480670034
-0.0010225,0.3672425051675035,0.6440408225396541,0.003672425051675034
-0.00102225,0.370924983717754,0.6440408225396541,0.003709249837177539
-0.001022,0.3782899408182557,0.647794585429415,0.003782899408182558
-0.00102175,0.3819724193685062,0.6440408225396576,0.003819724193685062
-0.0010215,0.3856548979187525,0.6515483483191763,0.003856548979187525
-0.00102125,0.3930198550192552,0.6553021112089423,0.003930198550192551
-0.001021,0.3967023335695048,0.6590558740987054,0.003967023335695048
-0.00102075,0.4040672906700049,0.6515483483191797,0.004040672906700049
-0.0010205,0.4114322477705059,0.6515483483191797,0.004114322477705059
-0.00102025,0.4151147263207572,0.6477945854294167,0.004151147263207572
-0.00102,0.4187972048710044,0.6477945854294167,0.004187972048710044
-0.00101975,0.4298446405217516,0.6440408225396558,0.004298446405217516
-0.0010195,0.4261621619715061,0.6477945854294167,0.004261621619715062
-0.00101925,0.4335271190720071,0.6477945854294167,0.004335271190720072
-0.001019,0.4372095976222568,0.6515483483191797,0.004372095976222568
-0.00101875,0.4408920761725106,0.6515483483191797,0.004408920761725106
-0.0010185,0.4482570332730107,0.6515483483191797,0.004482570332730107
-0.00101825,0.4556219903735041,0.6515483483191797,0.004556219903735041
-0.001018,0.4519395118232595,0.6553021112089407,0.004519395118232595
-0.00101775,0.4629869474740085,0.6515483483191797,0.004629869474740085
-0.0010175,0.4666694260242581,0.6553021112089423,0.004666694260242581
-0.00101725,0.4740343831247591,0.6590558740987054,0.004740343831247591
-0.001017,0.4777168616750087,0.6553021112089423,0.004777168616750087
-0.00101675,0.477716861675012,0.655302111208944,0.004777168616750121
-0.0010165,0.4850818187755055,0.6590558740987037,0.004850818187755054
-0.00101625,0.4924467758760098,0.6590558740987054,0.004924467758760098
-0.001016,0.4961292544262594,0.6553021112089423,0.004961292544262594
-0.00101575,0.4998117329765099,0.6553021112089423,0.0049981173297651
-0.0010155,0.499811732976515,0.6553021112089407,0.00499811732976515
-0.00101525,0.5108591686272622,0.6515483483191797,0.005108591686272622
-0.001015,0.5145416471775094,0.6515483483191797,0.005145416471775094
-0.00101475,0.5219066042780078,0.6553021112089407,0.005219066042780078
-0.0010145,0.5292715613785113,0.6590558740987054,0.005292715613785113
-0.00101425,0.5403189970292619,0.6590558740987054,0.005403189970292619
-0.001014,0.5440014755795124,0.6590558740987054,0.005440014755795124
-0.00101375,0.5476839541297653,0.6628096369884663,0.005476839541297654
-0.0010135,0.5550489112302663,0.659055874098707,0.005550489112302664
-0.00101325,0.5624138683307598,0.6628096369884663,0.005624138683307597
-0.001013,0.5660963468810136,0.662809636988468,0.005660963468810136
-0.00101275,0.5697788254312632,0.6590558740987054,0.005697788254312632
-0.0010125,0.5771437825317633,0.666563399878231,0.005771437825317634
-0.00101225,0.5808262610820139,0.6590558740987054,0.005808262610820138
-0.001012,0.5845087396322644,0.666563399878231,0.005845087396322644
-0.00101175,0.5845087396322644,0.666563399878231,0.005845087396322644
-0.0010115,0.5881912181825123,0.6628096369884696,0.005881912181825123
-0.00101125,0.5918736967327645,0.666563399878231,0.005918736967327645
-0.001011,0.5992386538332646,0.666563399878231,0.005992386538332646
-0.00101075,0.6066036109337656,0.666563399878231,0.006066036109337656
-0.0010105,0.6066036109337689,0.6665633998782344,0.006066036109337689
-0.00101025,0.6139685680342707,0.6740709256577527,0.006139685680342707
-0.00101,0.6250160036850113,0.6665633998782344,0.006250160036850113
-0.00100975,0.6250160036850163,0.666563399878231,0.006250160036850163
-0.0010095,0.6360634393357669,0.6703171627679936,0.006360634393357669
-0.00100925,0.6397459178860165,0.6740709256577562,0.006397459178860166
-0.001009,0.643428396436267,0.6703171627679936,0.00643428396436267
-0.00100875,0.6544758320870177,0.6703171627679936,0.006544758320870176
-0.0010085,0.6544758320870177,0.6703171627679936,0.006544758320870176
-0.00100825,0.6581583106372665,0.6703171627679936,0.006581583106372665
-0.001008,0.6618407891875178,0.666563399878231,0.006618407891875178
-0.00100775,0.6618407891875178,0.6703171627679936,0.006618407891875178
-0.0010075,0.6692057462880179,0.666563399878231,0.006692057462880179
-0.00100725,0.67288822483827,0.6665633998782344,0.0067288822483827
-0.001007,0.6765707033885222,0.6740709256577545,0.006765707033885223
-0.00100675,0.6839356604890157,0.6703171627679952,0.006839356604890156
-0.0010065,0.6913006175895191,0.6703171627679936,0.006913006175895191
-0.00100625,0.6949830961397696,0.6703171627679936,0.006949830961397696
-0.001006,0.6986655746900201,0.6703171627679936,0.006986655746900201
