#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D55
#Date Time: 2021-04-08 15:42:40.462
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 805.85 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 4 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: -4 V Attenuation: 1 X
#Math 1: Function: C1/100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 4 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.002580165,-0.01205278550826527,0.332478502689344,-0.0001205278550826527
-0.002579535,-0.008370306958016447,0.3174634511303,-8.370306958016446e-05
-0.002578905,-0.008370306958014773,0.2949408737917163,-8.370306958014772e-05
-0.002578275,-0.008370306958016447,0.2761720593428956,-8.370306958016447e-05
-0.002577645,-0.01205278550826527,0.2611570077838512,-0.0001205278550826527
-0.002577015,-0.008370306958014773,0.249895719114563,-8.370306958014772e-05
-0.002576385,-0.01573526405851198,0.234880667555519,-0.0001573526405851198
-0.002575755,-0.01205278550826527,0.2198656159964609,-0.0001205278550826527
-0.002575125,-0.01205278550826527,0.2010968015476471,-0.0001205278550826527
-0.002574495,-0.01205278550826527,0.1860817499886027,-0.0001205278550826527
-0.002573865,-0.01205278550826527,0.167312935539782,-0.0001205278550826527
-0.002573235,-0.01205278550826527,0.1522978839807226,-0.0001205278550826527
-0.002572605,-0.01205278550826527,0.1335290695319173,-0.0001205278550826527
-0.002571975,-0.008370306958014773,0.1185140179728661,-8.370306958014772e-05
-0.002571345,-0.004687828407766391,0.1034989664138063,-4.68782840776639e-05
-0.002570715,-0.008370306958014773,0.084730151965001,-8.370306958014772e-05
-0.002570085,-0.01205278550826527,0.07346886329571278,-0.0001205278550826527
-0.002569455,-0.01205278550826527,0.04719252306738526,-0.0001205278550826527
-0.002568825,-0.008370306958014773,0.03968499728784769,-8.370306958014772e-05
-0.002568195,-0.004687828407763041,0.02466994572878835,-4.687828407763041e-05
-0.002567565,-0.001005349857514659,0.005901131279983041,-1.005349857514659e-05
-0.002566935,-0.001005349857514659,-0.009113920279068211,-1.005349857514659e-05
-0.002566305,-0.001005349857516334,-0.024128971838128,-1.005349857516334e-05
-0.002565675,-0.004687828407764716,-0.0428977862869333,-4.687828407764716e-05
-0.002565045,-0.004687828407764716,-0.05415907495622108,-4.687828407764716e-05
-0.002564415,-0.008370306958013099,-0.0691741265152655,-8.370306958013099e-05
-0.002563785,-0.004687828407764716,-0.08794294096408617,-4.687828407764716e-05
-0.002563155,-0.008370306958014773,-0.1067117554129085,-8.370306958014772e-05
-0.002562525,-0.008370306958014773,-0.1254805698617139,-8.370306958014772e-05
-0.002561895,-0.008370306958014773,-0.1442493843105277,-8.370306958014772e-05
-0.002561265,-0.008370306958013099,-0.1592644358695858,-8.370306958013097e-05
-0.002560635,-0.004687828407764716,-0.1742794874286302,-4.687828407764716e-05
-0.002560005,-0.001005349857514659,-0.1892945389876814,-1.005349857514659e-05
-0.002559375,0.002677128692734167,-0.2043095905467259,2.677128692734168e-05
-0.002558745,-0.004687828407764716,-0.2193246421057831,-4.687828407764716e-05
-0.002558115,-0.004687828407764716,-0.2380934565545969,-4.687828407764716e-05
-0.002557485,-0.008370306958014773,-0.2531085081136482,-8.370306958014772e-05
-0.002556855,-0.008370306958014773,-0.2643697967829368,-8.370306958014772e-05
-0.002556225,-0.004687828407764716,-0.2868923741215201,-4.687828407764716e-05
-0.002555595,-0.004687828407764716,-0.3019074256805645,-4.687828407764716e-05
-0.002554965,-0.004687828407764716,-0.3169224772396158,-4.687828407764716e-05
-0.002554335,-0.008370306958013099,-0.339445054578182,-8.370306958013099e-05
-0.002553705,-0.004687828407764716,-0.3507063432474808,-4.687828407764716e-05
-0.002553075,-0.001005349857514659,-0.3657213948065312,-1.005349857514659e-05
-0.002552445,0.002677128692735842,-0.3732289205860573,2.677128692735842e-05
-0.002551815,0.002677128692735842,-0.3957514979246337,2.677128692735842e-05
-0.002551185,-0.001005349857514659,-0.418274075263217,-1.005349857514659e-05
-0.002550555,-0.001005349857514659,-0.4332891268222614,-1.005349857514659e-05
-0.002549925,-0.001005349857514659,-0.4520579412710752,-1.005349857514659e-05
-0.002549295,-0.001005349857514659,-0.4633192299403588,-1.005349857514659e-05
-0.002548665,-0.004687828407764716,-0.4745805186096517,-4.687828407764716e-05
-0.002548035,-0.004687828407764716,-0.4933493330584655,-4.687828407764716e-05
-0.002547405,-0.004687828407764716,-0.5121181475072708,-4.687828407764716e-05
-0.002546775,-0.004687828407764716,-0.523379436176568,-4.687828407764716e-05
-0.002546145,-0.001005349857514659,-0.5383944877356278,-1.005349857514659e-05
-0.002545515,-0.001005349857514659,-0.5571633021844331,-1.005349857514659e-05
-0.002544885,0.002677128692735842,-0.5646708279639583,2.677128692735842e-05
-0.002544255,0.002677128692735842,-0.5796858795230027,2.677128692735842e-05
-0.002543625,0.002677128692735842,-0.5984546939718234,2.677128692735842e-05
-0.002542995,-0.001005349857514659,-0.6209772713103998,-1.005349857514659e-05
-0.002542365,-0.001005349857514659,-0.6322385599796834,-1.005349857514659e-05
-0.002541735,-0.001005349857514659,-0.6547611373182649,-1.005349857514659e-05
-0.002541105,-0.001005349857518008,-0.6660224259875605,-1.005349857518008e-05
-0.002540475,-0.008370306958014773,-0.6810374775466048,-8.370306958014772e-05
-0.002539845,-0.004687828407764716,-0.6960525291056552,-4.687828407764716e-05
-0.002539215,-0.001005349857516334,-0.7110675806646996,-1.005349857516333e-05
-0.002538585,0.006359607242985454,-0.7298363951135203,6.359607242985455e-05
-0.002537955,-0.001005349857514659,-0.7448514466725715,-1.005349857514659e-05
-0.002537325,-0.001005349857514659,-0.7636202611213768,-1.005349857514659e-05
-0.002536695,0.002677128692735842,-0.7823890755701992,2.677128692735842e-05
-0.002536065,-0.001005349857514659,-0.7898966013497346,-1.005349857514659e-05
-0.002535435,-0.001005349857514659,-0.8124191786883017,-1.005349857514659e-05
-0.002534805,-0.001005349857514659,-0.8274342302473521,-1.005349857514659e-05
-0.002534175,-0.008370306958016447,-0.8462030446961694,-8.370306958016447e-05
-0.002533545,-0.01205278550826527,-0.853710570475692,-0.0001205278550826527
-0.002532915,-0.004687828407764716,-0.8649718591449806,-4.687828407764716e-05
-0.002532285,-0.004687828407764716,-0.8837406735937859,-4.687828407764716e-05
-0.002531655,-0.001005349857514659,-0.9025094880426083,-1.005349857514659e-05
-0.002531025,-0.001005349857512984,-0.9175245396016689,-1.005349857512985e-05
-0.002530395,0.002677128692735842,-0.940047116940236,2.677128692735842e-05
-0.002529765,0.002677128692735842,-0.9550621684992864,2.677128692735842e-05
-0.002529135,0.00635960724298378,-0.9625696942788193,6.35960724298378e-05
-0.002528505,0.002677128692735842,-0.9775847458378637,2.677128692735842e-05
-0.002527875,-0.001005349857514659,-0.9963535602866775,-1.005349857514659e-05
-0.002527245,-0.004687828407763042,-1.003861086066199,-4.687828407763042e-05
-0.002526615,-0.001005349857514659,-1.022629900515017,-1.005349857514659e-05
-0.002525985,0.002677128692735842,-1.037644952074068,2.677128692735842e-05
-0.002525355,0.002677128692735842,-1.052660003633119,2.677128692735842e-05
-0.002524725,-0.001005349857514659,-1.075182580971696,-1.005349857514659e-05
-0.002524095,0.002677128692735842,-1.090197632530755,2.677128692735842e-05
-0.002523465,0.002677128692735842,-1.108966446979561,2.677128692735842e-05
-0.002522835,-0.004687828407764716,-1.120227735648848,-4.687828407764716e-05
-0.002522205,-0.004687828407764716,-1.135242787207893,-4.687828407764716e-05
-0.002521575,-0.001005349857514659,-1.150257838766951,-1.005349857514659e-05
-0.002520945,-0.001005349857514659,-1.157765364546476,-1.005349857514659e-05
-0.002520315,-0.001005349857514659,-1.172780416105527,-1.005349857514659e-05
-0.002519685,0.002677128692735842,-1.191549230554341,2.677128692735842e-05
-0.002519055,0.002677128692734167,-1.206564282113401,2.677128692734167e-05
-0.002518425,-0.001005349857514659,-1.225333096562206,-1.005349857514659e-05
-0.002517795,-0.004687828407764716,-1.240348148121257,-4.687828407764716e-05
-0.002517165,-0.004687828407764716,-1.251609436790541,-4.687828407764716e-05
-0.002516535,-0.001005349857514659,-1.27037825123936,-1.005349857514659e-05
-0.002515905,-0.001005349857514659,-1.28539330279841,-1.005349857514659e-05
-0.002515275,-0.001005349857514659,-1.296654591467694,-1.005349857514659e-05
-0.002514645,-0.001005349857514659,-1.31166964302675,-1.005349857514659e-05
-0.002514015,-0.001005349857514659,-1.330438457475573,-1.005349857514659e-05
-0.002513385,-0.001005349857514659,-1.349207271924378,-1.005349857514659e-05
-0.002512755,0.006359607242985454,-1.364222323483429,6.359607242985455e-05
-0.002512125,0.006359607242985454,-1.375483612152712,6.359607242985455e-05
-0.002511495,0.002677128692735842,-1.390498663711768,2.677128692735842e-05
-0.002510865,0.006359607242985454,-1.409267478160582,6.359607242985455e-05
-0.002510235,0.006359607242985454,-1.424282529719626,6.359607242985455e-05
-0.002509605,0.002677128692735842,-1.431790055499158,2.677128692735842e-05
-0.002508975,0.002677128692735842,-1.450558869947979,2.677128692735842e-05
-0.002508345,0.002677128692735842,-1.465573921507024,2.677128692735842e-05
-0.002507715,-0.001005349857514659,-1.484342735955837,-1.005349857514659e-05
-0.002507085,-0.001005349857514659,-1.499357787514882,-1.005349857514659e-05
-0.002506455,0.002677128692735842,-1.518126601963703,2.677128692735842e-05
-0.002505825,-0.001005349857514659,-1.529387890632991,-1.005349857514659e-05
-0.002505195,0.002677128692734167,-1.540649179302274,2.677128692734168e-05
-0.002504565,0.002677128692735842,-1.548156705081805,2.677128692735842e-05
-0.002503935,0.002677128692737516,-1.570679282420387,2.677128692737516e-05
-0.002503305,0.006359607242985454,-1.581940571089669,6.359607242985455e-05
-0.002502675,0.006359607242985454,-1.59695562264872,6.359607242985455e-05
-0.002502045,0.00635960724298378,-1.615724437097539,6.35960724298378e-05
-0.002501415,0.002677128692735842,-1.626985725766823,2.677128692735842e-05
-0.002500785,0.002677128692735842,-1.638247014436112,2.677128692735842e-05
-0.002500155,0.002677128692735842,-1.653262065995155,2.677128692735842e-05
-0.002499525,0.002677128692735842,-1.672030880443976,2.677128692735842e-05
-0.002498895,-0.001005349857512984,-1.683292169113271,-1.005349857512985e-05
-0.002498265,0.002677128692735842,-1.698307220672316,2.677128692735842e-05
-0.002497635,-0.001005349857514659,-1.709568509341604,-1.005349857514659e-05
-0.002497005,0.002677128692735842,-1.724583560900662,2.677128692735842e-05
-0.002496375,0.002677128692735842,-1.739598612459706,2.677128692735842e-05
-0.002495745,-0.001005349857514659,-1.754613664018757,-1.005349857514659e-05
-0.002495115,0.002677128692734167,-1.769628715577802,2.677128692734168e-05
-0.002494485,0.002677128692735842,-1.78464376713686,2.677128692735842e-05
-0.002493855,-0.001005349857512984,-1.799658818695912,-1.005349857512985e-05
-0.002493225,0.002677128692735842,-1.803412581585674,2.677128692735842e-05
-0.002492595,0.002677128692735842,-1.822181396034487,2.677128692735842e-05
-0.002491965,0.002677128692735842,-1.840950210483308,2.677128692735842e-05
-0.002491335,0.002677128692735842,-1.855965262042352,2.677128692735842e-05
-0.002490705,-0.001005349857514659,-1.870980313601403,-1.005349857514659e-05
-0.002490075,0.002677128692734167,-1.885995365160447,2.677128692734168e-05
-0.002489445,0.006359607242985454,-1.897256653829743,6.359607242985455e-05
-0.002488815,-0.001005349857514659,-1.912271705388793,-1.005349857514659e-05
-0.002488185,-0.001005349857514659,-1.927286756947844,-1.005349857514659e-05
-0.002487555,0.002677128692735842,-1.942301808506896,2.677128692735842e-05
-0.002486925,0.006359607242985454,-1.953563097176189,6.359607242985455e-05
-0.002486295,0.006359607242985454,-1.964824385845472,6.359607242985455e-05
-0.002485665,0.002677128692735842,-1.983593200294286,2.677128692735842e-05
-0.002485035,0.002677128692735842,-1.99860825185333,2.677128692735842e-05
-0.002484405,-0.001005349857514659,-2.009869540522626,-1.005349857514659e-05
-0.002483775,0.002677128692735842,-2.024884592081677,2.677128692735842e-05
-0.002483145,-0.001005349857514659,-2.039899643640728,-1.005349857514659e-05
-0.002482515,0.002677128692735842,-2.051160932310016,2.677128692735842e-05
-0.002481885,-0.001005349857512984,-2.06242222097931,-1.005349857512985e-05
-0.002481255,0.002677128692735842,-2.073683509648593,2.677128692735842e-05
-0.002480625,0.002677128692735842,-2.092452324097406,2.677128692735842e-05
-0.002479995,0.00635960724298378,-2.10371361276669,6.359607242983781e-05
